query,value,category,season
snow pants,36,pants,Winter
work pants,34,pants,Winter
yoga pants,33,pants,Winter
pants for women,32,pants,Winter
green pants,30,pants,Winter
ski pants,29,pants,Winter
red pants,28,pants,Winter
sweat pants,25,pants,Winter
brown pants,24,pants,Winter
wide leg pants,24,pants,Winter
khaki pants,23,pants,Winter
flare pants,20,pants,Winter
corduroy pants,19,pants,Winter
dickies pants,19,pants,Winter
dickies,17,pants,Winter
adidas pants,17,pants,Winter
mens shirts,100,shirts,Winter
men shirts,68,shirts,Winter
long sleeve shirts,58,shirts,Winter
dress shirts,48,shirts,Winter
polo shirts,46,shirts,Winter
tee shirts,45,shirts,Winter
polo,43,shirts,Winter
black shirts,39,shirts,Winter
shirts for men,39,shirts,Winter
custom shirts,37,shirts,Winter
womens shirts,37,shirts,Winter
christmas shirts,29,shirts,Winter
nike shirts,25,shirts,Winter
flannel shirts,23,shirts,Winter
shirts for women,23,shirts,Winter
funny shirts,21,shirts,Winter
golf shirts,17,shirts,Winter
vintage shirts,17,shirts,Winter
mens t shirts,17,shirts,Winter
disney shirts,16,shirts,Winter
button down shirts,15,shirts,Winter
jiffy shirts,14,shirts,Winter
custom t shirts,13,shirts,Winter
button up shirts,13,shirts,Winter
mens dress shirts,11,shirts,Winter
shorts youtube,100,shorts,Winter
mens shorts,51,shorts,Winter
nike shorts,48,shorts,Winter
short shorts,35,shorts,Winter
men shorts,33,shorts,Winter
women shorts,32,shorts,Winter
black shorts,32,shorts,Winter
womens shorts,31,shorts,Winter
white shorts,24,shorts,Winter
jean shorts,20,shorts,Winter
basketball shorts,17,shorts,Winter
long shorts,15,shorts,Winter
lululemon,15,shorts,Winter
lululemon shorts,15,shorts,Winter
running shorts,14,shorts,Winter
swim shorts,14,shorts,Winter
denim shorts,14,shorts,Winter
gym shorts,13,shorts,Winter
cargo shorts,13,shorts,Winter
pink shorts,12,shorts,Winter
biker shorts,12,shorts,Winter
booty shorts,12,shorts,Winter
compression shorts,11,shorts,Winter
red shorts,11,shorts,Winter
boy shorts,11,shorts,Winter
skirt,100,skirts,Winter
side skirts,61,skirts,Winter
skirts long,59,skirts,Winter
skirts for women,49,skirts,Winter
mini skirts,47,skirts,Winter
short skirts,45,skirts,Winter
black skirts,43,skirts,Winter
girls skirts,37,skirts,Winter
dresses,35,skirts,Winter
womens skirts,29,skirts,Winter
white skirts,28,skirts,Winter
maxi skirts,24,skirts,Winter
tree skirts,24,skirts,Winter
midi skirts,23,skirts,Winter
denim skirts,23,skirts,Winter
plus size skirts,20,skirts,Winter
amazon skirts,20,skirts,Winter
bed skirts,19,skirts,Winter
jean skirts,18,skirts,Winter
skirts near me,17,skirts,Winter
tennis skirts,16,skirts,Winter
cute skirts,15,skirts,Winter
pencil skirts,15,skirts,Winter
leather skirts,14,skirts,Winter
girl skirts,14,skirts,Winter
sweater,100,sweaters,Winter
christmas sweaters,92,sweaters,Winter
mens sweaters,47,sweaters,Winter
ugly sweaters,47,sweaters,Winter
sweaters women,47,sweaters,Winter
womens sweaters,45,sweaters,Winter
ugly christmas sweaters,30,sweaters,Winter
men sweaters,27,sweaters,Winter
sweaters for women,24,sweaters,Winter
amazon sweaters,19,sweaters,Winter
dog sweaters,18,sweaters,Winter
christmas sweater,17,sweaters,Winter
cashmere sweaters,17,sweaters,Winter
black sweaters,17,sweaters,Winter
sweaters near me,15,sweaters,Winter
sweaters for men,14,sweaters,Winter
cute sweaters,13,sweaters,Winter
target sweaters,13,sweaters,Winter
white sweaters,13,sweaters,Winter
knit sweaters,12,sweaters,Winter
walmart sweaters,12,sweaters,Winter
wool sweaters,12,sweaters,Winter
ugly sweater,12,sweaters,Winter
macys sweaters,10,sweaters,Winter
ugly christmas sweater,10,sweaters,Winter
sweatshirt,100,sweatshirts,Winter
nike sweatshirts,69,sweatshirts,Winter
nike,67,sweatshirts,Winter
mens sweatshirts,53,sweatshirts,Winter
sweatshirts women,44,sweatshirts,Winter
womens sweatshirts,44,sweatshirts,Winter
sweatshirts men,34,sweatshirts,Winter
hoodie,33,sweatshirts,Winter
hoodies,30,sweatshirts,Winter
sweatshirts for women,29,sweatshirts,Winter
best sweatshirts,27,sweatshirts,Winter
amazon sweatshirts,25,sweatshirts,Winter
custom sweatshirts,24,sweatshirts,Winter
christmas sweatshirts,23,sweatshirts,Winter
cute sweatshirts,22,sweatshirts,Winter
sweatshirts for men,21,sweatshirts,Winter
vintage sweatshirts,21,sweatshirts,Winter
black sweatshirts,19,sweatshirts,Winter
crewneck sweatshirts,19,sweatshirts,Winter
sweatshirts near me,16,sweatshirts,Winter
graphic sweatshirts,15,sweatshirts,Winter
white sweatshirts,15,sweatshirts,Winter
girls sweatshirts,15,sweatshirts,Winter
hooded sweatshirts,15,sweatshirts,Winter
sweater,15,sweatshirts,Winter
